round_number,home_team_name,away_team_name,predictedResult
1,Man United,Fulham,1
1,Ipswich Town,Liverpool,0
1,Arsenal,Wolverhampton,0
1,Everton,Brighton Hove,1
1,Newcastle,Southampton,0
1,Nottingham,Bournemouth,0
1,West Ham,Aston Villa,0
1,Brentford,Crystal Palace,0
1,Chelsea,Man City,-1
1,Leicester City,Tottenham,1
2,Brighton Hove,Man United,-1
2,Crystal Palace,West Ham,-1
2,Fulham,Leicester City,-1
2,Man City,Ipswich Town,1
2,Southampton,Nottingham,-1
2,Tottenham,Everton,1
2,Aston Villa,Arsenal,-1
2,Bournemouth,Newcastle,1
2,Wolverhampton,Chelsea,-1
2,Liverpool,Brentford,1
3,Arsenal,Brighton Hove,1
3,Brentford,Southampton,1
3,Everton,Bournemouth,1
3,Ipswich Town,Fulham,0
3,Leicester City,Aston Villa,-1
3,Nottingham,Wolverhampton,0
3,West Ham,Man City,-1
3,Chelsea,Crystal Palace,1
3,Newcastle,Tottenham,1
3,Man United,Liverpool,1
4,Southampton,Man United,-1
4,Brighton Hove,Ipswich Town,0
4,Crystal Palace,Leicester City,1
4,Fulham,West Ham,-1
4,Liverpool,Nottingham,1
4,Man City,Brentford,1
4,Aston Villa,Everton,1
4,Bournemouth,Chelsea,-1
4,Tottenham,Arsenal,-1
4,Wolverhampton,Newcastle,0
5,West Ham,Chelsea,1
5,Aston Villa,Wolverhampton,0
5,Fulham,Newcastle,-1
5,Leicester City,Everton,1
5,Liverpool,Bournemouth,1
5,Southampton,Ipswich Town,0
5,Tottenham,Brentford,1
5,Crystal Palace,Man United,-1
5,Brighton Hove,Nottingham,0
5,Man City,Arsenal,1
6,Newcastle,Man City,0
6,Arsenal,Leicester City,1
6,Brentford,West Ham,1
6,Chelsea,Brighton Hove,1
6,Everton,Crystal Palace,1
6,Nottingham,Fulham,0
6,Wolverhampton,Liverpool,-1
6,Ipswich Town,Aston Villa,-1
6,Man United,Tottenham,1
6,Bournemouth,Southampton,1
7,Crystal Palace,Liverpool,-1
7,Arsenal,Southampton,1
7,Brentford,Wolverhampton,0
7,Leicester City,Bournemouth,1
7,Man City,Fulham,1
7,West Ham,Ipswich Town,1
7,Everton,Newcastle,1
7,Aston Villa,Man United,-1
7,Chelsea,Nottingham,1
7,Brighton Hove,Tottenham,-1
8,Tottenham,West Ham,1
8,Fulham,Aston Villa,-1
8,Ipswich Town,Everton,0
8,Man United,Brentford,1
8,Newcastle,Brighton Hove,1
8,Southampton,Leicester City,0
8,Bournemouth,Arsenal,-1
8,Wolverhampton,Man City,-1
8,Liverpool,Chelsea,1
8,Nottingham,Crystal Palace,0
9,Leicester City,Nottingham,1
9,Aston Villa,Bournemouth,1
